Year,NOC,Total,Gold,Historical_Medals,Total_Events,Total_Participants,Gender_Ratio,Is_Host
2020,ALB,0.0,0.0,0.0,10,9,0.6666666666666666,0
2024,ALB,2.0,0.0,0.0,9,8,0.625,0
1964,ALG,0.0,0.0,0.0,7,1,1.0,0
1968,ALG,0.0,0.0,0.0,9,3,1.0,0
1972,ALG,0.0,0.0,0.0,5,5,1.0,0
1980,ALG,0.0,0.0,0.0,28,54,1.0,0
1984,ALG,2.0,0.0,0.0,17,33,1.0,0
1988,ALG,0.0,0.0,2.0,29,42,0.9523809523809523,0
1992,ALG,2.0,1.0,2.0,27,35,0.9428571428571428,0
1996,ALG,3.0,2.0,4.0,29,45,0.8666666666666667,0
2000,ALG,5.0,1.0,7.0,42,47,0.7872340425531915,0
2004,ALG,0.0,0.0,12.0,57,61,0.7540983606557377,0
2008,ALG,2.0,0.0,12.0,44,56,0.6071428571428571,0
2012,ALG,1.0,1.0,14.0,29,38,0.5526315789473685,0
2016,ALG,2.0,0.0,15.0,48,64,0.84375,0
2020,ALG,0.0,0.0,17.0,43,41,0.6829268292682927,0
2024,ALG,3.0,2.0,17.0,47,46,0.5869565217391305,0
1976,AND,0.0,0.0,0.0,2,3,1.0,0
1980,AND,0.0,0.0,0.0,1,2,1.0,0
1984,AND,0.0,0.0,0.0,1,2,1.0,0
1988,AND,0.0,0.0,0.0,3,3,1.0,0
1992,AND,0.0,0.0,0.0,5,8,0.875,0
1996,AND,0.0,0.0,0.0,7,8,0.75,0
2000,AND,0.0,0.0,0.0,5,5,0.6,0
2004,AND,0.0,0.0,0.0,6,6,0.6666666666666666,0
2008,AND,0.0,0.0,0.0,5,5,0.6,0
2012,AND,0.0,0.0,0.0,6,6,0.6666666666666666,0
2016,AND,0.0,0.0,0.0,4,4,0.5,0
2020,AND,0.0,0.0,0.0,3,2,0.5,0
2024,AND,0.0,0.0,0.0,4,2,0.5,0
1980,ANG,0.0,0.0,0.0,14,11,0.9090909090909091,0
1988,ANG,0.0,0.0,0.0,27,24,0.7916666666666666,0
1992,ANG,0.0,0.0,0.0,21,28,0.8928571428571429,0
1996,ANG,0.0,0.0,0.0,8,28,0.4642857142857143,0
2000,ANG,0.0,0.0,0.0,7,30,0.5,0
2004,ANG,0.0,0.0,0.0,5,30,0.4666666666666667,0
2008,ANG,0.0,0.0,0.0,8,32,0.53125,0
2012,ANG,0.0,0.0,0.0,10,33,0.12121212121212122,0
2016,ANG,0.0,0.0,0.0,10,26,0.3076923076923077,0
2020,ANG,0.0,0.0,0.0,6,20,0.2,0
2024,ANG,0.0,0.0,0.0,10,25,0.32,0
1976,ANT,0.0,0.0,0.0,11,10,1.0,0
1984,ANT,0.0,0.0,0.0,17,14,0.7142857142857143,0
1988,ANT,0.0,0.0,0.0,19,15,0.8,0
1992,ANT,0.0,0.0,0.0,15,13,0.6923076923076923,0
1996,ANT,0.0,0.0,0.0,9,13,0.6153846153846154,0
2000,ANT,0.0,0.0,0.0,4,3,0.6666666666666666,0
2004,ANT,0.0,0.0,0.0,5,5,0.6,0
2008,ANT,0.0,0.0,0.0,5,5,0.8,0
2012,ANT,0.0,0.0,0.0,4,4,0.5,0
2016,ANT,0.0,0.0,0.0,5,8,0.75,0
2020,ANT,0.0,0.0,0.0,6,6,0.5,0
2024,ANT,0.0,0.0,0.0,5,5,0.6,0
1908,ANZ,5.0,1.0,0.0,20,30,1.0,0
1912,ANZ,7.0,2.0,5.0,17,25,0.92,0
1900,ARG,0.0,0.0,0.0,1,1,1.0,0
1908,ARG,0.0,0.0,0.0,1,1,1.0,0
1920,ARG,0.0,0.0,0.0,1,1,1.0,0
1924,ARG,6.0,1.0,0.0,39,77,1.0,0
1928,ARG,7.0,3.0,6.0,40,81,1.0,0
1932,ARG,4.0,3.0,13.0,30,33,1.0,0
1936,ARG,7.0,2.0,17.0,31,51,0.9803921568627451,0
1948,ARG,7.0,3.0,24.0,101,199,0.9447236180904522,0
1952,ARG,5.0,1.0,31.0,77,123,0.9349593495934959,0
1956,ARG,2.0,0.0,36.0,32,35,0.9714285714285714,0
1960,ARG,2.0,0.0,38.0,54,92,0.9891304347826086,0
1964,ARG,1.0,0.0,40.0,78,102,0.9411764705882353,0
1968,ARG,2.0,0.0,41.0,60,89,0.9438202247191011,0
1972,ARG,1.0,0.0,43.0,62,92,0.9565217391304348,0
1976,ARG,0.0,0.0,44.0,50,69,0.9420289855072463,0
1984,ARG,0.0,0.0,44.0,70,81,0.8765432098765432,0
1988,ARG,2.0,0.0,44.0,53,118,0.788135593220339,0
1992,ARG,1.0,0.0,46.0,68,84,0.7976190476190477,0
1996,ARG,3.0,0.0,47.0,102,179,0.7374301675977654,0
2000,ARG,4.0,0.0,50.0,98,142,0.6901408450704225,0
2004,ARG,6.0,2.0,54.0,86,151,0.7019867549668874,0
2008,ARG,6.0,2.0,60.0,71,131,0.6030534351145038,0
2012,ARG,4.0,1.0,66.0,66,137,0.708029197080292,0
2016,ARG,4.0,3.0,70.0,80,215,0.6511627906976745,0
2020,ARG,3.0,0.0,74.0,71,189,0.6931216931216931,0
2024,ARG,3.0,1.0,77.0,48,143,0.7692307692307693,0
1996,ARM,2.0,1.0,0.0,36,32,0.9375,0
2000,ARM,1.0,0.0,2.0,26,25,0.92,0
2004,ARM,0.0,0.0,3.0,19,18,0.8888888888888888,0
2008,ARM,5.0,0.0,3.0,24,24,0.9166666666666666,0
2012,ARM,2.0,0.0,8.0,30,24,0.8333333333333334,0
2016,ARM,4.0,1.0,10.0,32,31,0.7741935483870968,0
2020,ARM,4.0,0.0,14.0,19,17,0.8235294117647058,0
2024,ARM,4.0,0.0,18.0,16,15,0.8666666666666667,0
1988,ARU,0.0,0.0,0.0,10,8,0.5,0
1992,ARU,0.0,0.0,0.0,4,5,0.8,0
1996,ARU,0.0,0.0,0.0,3,3,1.0,0
2000,ARU,0.0,0.0,0.0,5,5,0.6,0
2004,ARU,0.0,0.0,0.0,4,4,0.75,0
2008,ARU,0.0,0.0,0.0,2,2,1.0,0
2012,ARU,0.0,0.0,0.0,4,4,0.75,0
2016,ARU,0.0,0.0,0.0,6,7,0.42857142857142855,0
2020,ARU,0.0,0.0,0.0,4,3,0.6666666666666666,0
2024,ARU,0.0,0.0,0.0,7,6,0.6666666666666666,0
1988,ASA,0.0,0.0,0.0,6,6,1.0,0
1992,ASA,0.0,0.0,0.0,3,3,1.0,0
1996,ASA,0.0,0.0,0.0,6,7,0.8571428571428571,0
2000,ASA,0.0,0.0,0.0,4,4,0.75,0
2004,ASA,0.0,0.0,0.0,3,3,0.6666666666666666,0
2008,ASA,0.0,0.0,0.0,4,4,0.5,0
2012,ASA,0.0,0.0,0.0,4,4,0.75,0
2016,ASA,0.0,0.0,0.0,4,4,0.75,0
2020,ASA,0.0,0.0,0.0,5,6,0.8333333333333334,0
2024,ASA,0.0,0.0,0.0,2,2,0.5,0
1896,AUS,2.0,2.0,0.0,5,1,1.0,0
1900,AUS,5.0,2.0,2.0,6,2,1.0,0
1904,AUS,4.0,0.0,7.0,6,2,1.0,0
1906,AUS,0.0,0.0,11.0,9,4,1.0,0
1920,AUS,3.0,0.0,11.0,19,13,0.9230769230769231,0
1924,AUS,6.0,3.0,14.0,31,36,0.9722222222222222,0
1928,AUS,4.0,1.0,20.0,26,18,0.7777777777777778,0
1932,AUS,5.0,3.0,24.0,17,13,0.6923076923076923,0
1936,AUS,1.0,0.0,29.0,26,32,0.875,0
1948,AUS,13.0,2.0,30.0,52,74,0.8783783783783784,0
1952,AUS,11.0,6.0,43.0,67,81,0.8765432098765432,0
1956,AUS,35.0,13.0,54.0,143,298,0.8523489932885906,1
1960,AUS,22.0,8.0,89.0,122,189,0.8465608465608465,0
1964,AUS,18.0,6.0,111.0,133,243,0.8353909465020576,0
1968,AUS,17.0,5.0,129.0,105,128,0.8125,0
1972,AUS,17.0,8.0,146.0,110,168,0.8273809523809523,0
1976,AUS,5.0,0.0,163.0,115,180,0.8111111111111111,0
1980,AUS,9.0,2.0,168.0,92,120,0.7666666666666667,0
1984,AUS,24.0,4.0,177.0,137,242,0.6983471074380165,0
1988,AUS,14.0,3.0,201.0,145,252,0.7142857142857143,0
1992,AUS,27.0,7.0,215.0,153,278,0.6690647482014388,0
1996,AUS,41.0,9.0,242.0,211,417,0.5995203836930456,0
2000,AUS,58.0,16.0,283.0,270,616,0.5535714285714286,1
2004,AUS,50.0,17.0,341.0,219,469,0.5714285714285714,0
2008,AUS,46.0,14.0,391.0,219,432,0.5393518518518519,0
2012,AUS,35.0,8.0,437.0,208,405,0.5456790123456791,0
2016,AUS,29.0,8.0,472.0,194,420,0.49523809523809526,0
2020,AUS,46.0,17.0,501.0,220,489,0.4662576687116564,0
2024,AUS,53.0,18.0,547.0,236,474,0.4430379746835443,0
1896,AUT,5.0,2.0,0.0,8,3,1.0,0
1900,AUT,6.0,0.0,5.0,17,16,1.0,0
1904,AUT,3.0,1.0,11.0,7,2,1.0,0
1906,AUT,0.0,0.0,14.0,46,31,1.0,0
1908,AUT,1.0,0.0,14.0,10,7,1.0,0
1912,AUT,4.0,0.0,15.0,46,85,0.9294117647058824,0
1924,AUT,4.0,0.0,19.0,27,49,0.9387755102040817,0
1928,AUT,3.0,2.0,23.0,39,73,0.9178082191780822,0
1932,AUT,5.0,1.0,26.0,14,19,0.8947368421052632,0
1936,AUT,17.0,5.0,31.0,105,234,0.9273504273504274,0
1948,AUT,4.0,1.0,48.0,79,148,0.7837837837837838,0
1952,AUT,2.0,0.0,52.0,70,112,0.8125,0
1956,AUT,2.0,0.0,54.0,36,34,0.8529411764705882,0
1960,AUT,2.0,1.0,56.0,81,103,0.7961165048543689,0
1964,AUT,0.0,0.0,58.0,54,56,0.8035714285714286,0
1968,AUT,4.0,0.0,58.0,37,43,0.813953488372093,0
1972,AUT,3.0,0.0,62.0,68,111,0.8738738738738738,0
1976,AUT,1.0,0.0,65.0,44,60,0.9,0
1980,AUT,4.0,1.0,66.0,51,83,0.7710843373493976,0
1984,AUT,3.0,1.0,70.0,72,102,0.696078431372549,0
1988,AUT,1.0,1.0,73.0,62,73,0.9041095890410958,0
1992,AUT,2.0,0.0,74.0,68,102,0.696078431372549,0
1996,AUT,3.0,0.0,76.0,53,72,0.7777777777777778,0
2000,AUT,3.0,2.0,79.0,68,92,0.5978260869565217,0
2004,AUT,7.0,2.0,82.0,56,74,0.7297297297297297,0
2008,AUT,3.0,0.0,89.0,62,70,0.5714285714285714,0
2012,AUT,0.0,0.0,92.0,69,70,0.5571428571428572,0
2016,AUT,1.0,0.0,92.0,61,71,0.5211267605633803,0
2020,AUT,7.0,1.0,93.0,72,76,0.4868421052631579,0
2024,AUT,5.0,2.0,100.0,82,84,0.5595238095238095,0
1996,AZE,1.0,0.0,0.0,23,23,0.8695652173913043,0
2000,AZE,3.0,2.0,1.0,32,31,0.8064516129032258,0
2004,AZE,5.0,1.0,4.0,36,36,0.8333333333333334,0
2008,AZE,6.0,1.0,9.0,37,44,0.6818181818181818,0
2012,AZE,9.0,2.0,15.0,57,52,0.7307692307692307,0
2016,AZE,18.0,1.0,24.0,62,56,0.75,0
2020,AZE,7.0,0.0,42.0,51,44,0.6363636363636364,0
2024,AZE,7.0,2.0,49.0,42,48,0.5833333333333334,0
1952,BAH,0.0,0.0,0.0,3,7,1.0,0
1956,BAH,1.0,0.0,0.0,4,4,1.0,0
1960,BAH,0.0,0.0,1.0,8,13,1.0,0
1964,BAH,1.0,1.0,1.0,6,11,1.0,0
1968,BAH,0.0,0.0,2.0,12,16,1.0,0
1972,BAH,0.0,0.0,2.0,13,19,0.9473684210526315,0
1976,BAH,0.0,0.0,2.0,13,11,0.9090909090909091,0
1984,BAH,0.0,0.0,2.0,23,22,0.7727272727272727,0
1988,BAH,0.0,0.0,2.0,15,16,0.75,0
1992,BAH,1.0,0.0,2.0,13,14,0.8571428571428571,0
1996,BAH,1.0,0.0,3.0,17,26,0.7307692307692307,0
2000,BAH,3.0,2.0,4.0,18,25,0.64,0
2004,BAH,2.0,1.0,7.0,18,22,0.5909090909090909,0
2008,BAH,2.0,0.0,9.0,22,25,0.64,0
2012,BAH,1.0,1.0,11.0,16,21,0.5714285714285714,0
2016,BAH,2.0,1.0,12.0,20,29,0.5862068965517241,0
2020,BAH,2.0,2.0,14.0,12,16,0.375,0
2024,BAH,0.0,0.0,16.0,13,19,0.5789473684210527,0
1984,BAN,0.0,0.0,0.0,2,1,1.0,0
1988,BAN,0.0,0.0,0.0,8,6,1.0,0
1992,BAN,0.0,0.0,0.0,6,6,0.8333333333333334,0
1996,BAN,0.0,0.0,0.0,4,4,0.75,0
2000,BAN,0.0,0.0,0.0,6,5,0.4,0
2004,BAN,0.0,0.0,0.0,4,4,0.75,0
2008,BAN,0.0,0.0,0.0,5,5,0.6,0
2012,BAN,0.0,0.0,0.0,7,5,0.8,0
2016,BAN,0.0,0.0,0.0,7,6,0.5,0
2020,BAN,0.0,0.0,0.0,7,6,0.6666666666666666,0
2024,BAN,0.0,0.0,0.0,5,5,0.8,0
1968,BAR,0.0,0.0,0.0,10,9,1.0,0
1972,BAR,0.0,0.0,0.0,13,13,0.6153846153846154,0
1976,BAR,0.0,0.0,0.0,11,11,0.8181818181818182,0
1984,BAR,0.0,0.0,0.0,16,16,0.8125,0
1988,BAR,0.0,0.0,0.0,20,17,0.9411764705882353,0
1992,BAR,0.0,0.0,0.0,17,17,0.9411764705882353,0
1996,BAR,0.0,0.0,0.0,21,13,0.8461538461538461,0
2000,BAR,1.0,0.0,0.0,21,18,0.6666666666666666,0
2004,BAR,0.0,0.0,1.0,15,10,0.9,0
2008,BAR,0.0,0.0,1.0,10,8,0.875,0
2012,BAR,0.0,0.0,1.0,6,6,1.0,0
2016,BAR,0.0,0.0,1.0,11,11,0.6363636363636364,0
2020,BAR,0.0,0.0,1.0,9,8,0.5,0
2024,BAR,0.0,0.0,1.0,4,4,0.5,0
1996,BDI,1.0,1.0,0.0,6,7,0.8571428571428571,0
2000,BDI,0.0,0.0,1.0,5,6,0.8333333333333334,0
2004,BDI,0.0,0.0,1.0,5,7,0.7142857142857143,0
2008,BDI,0.0,0.0,1.0,3,3,0.3333333333333333,0
2012,BDI,0.0,0.0,1.0,6,6,0.3333333333333333,0
2016,BDI,1.0,0.0,1.0,9,9,0.5555555555555556,0
2020,BDI,0.0,0.0,2.0,7,6,0.5,0
2024,BDI,0.0,0.0,2.0,7,7,0.5714285714285714,0
1900,BEL,17.0,6.0,0.0,31,64,1.0,0
1906,BEL,0.0,0.0,17.0,22,16,1.0,0
1908,BEL,8.0,1.0,17.0,33,70,1.0,0
1912,BEL,6.0,2.0,25.0,23,36,0.9722222222222222,0
1920,BEL,36.0,14.0,31.0,121,336,0.9702380952380952,1
1924,BEL,13.0,3.0,67.0,82,172,0.9651162790697675,0
1928,BEL,3.0,0.0,80.0,90,187,0.9358288770053476,0
1932,BEL,1.0,0.0,83.0,10,36,0.8055555555555556,0
1936,BEL,3.0,0.0,84.0,72,150,0.9666666666666667,0
1948,BEL,7.0,2.0,87.0,77,151,0.8675496688741722,0
1952,BEL,4.0,2.0,94.0,74,134,0.9626865671641791,0
1956,BEL,2.0,0.0,98.0,39,57,0.9298245614035088,0
1960,BEL,4.0,0.0,100.0,64,100,0.92,0
1964,BEL,3.0,2.0,104.0,36,61,0.9836065573770492,0
1968,BEL,2.0,0.0,107.0,55,82,0.9390243902439024,0
1972,BEL,2.0,0.0,109.0,51,88,0.9318181818181818,0
1976,BEL,6.0,0.0,111.0,80,101,0.7425742574257426,0
1980,BEL,1.0,1.0,117.0,51,59,0.7288135593220338,0
1984,BEL,4.0,1.0,118.0,48,63,0.746031746031746,0
1988,BEL,2.0,0.0,122.0,65,59,0.5932203389830508,0
1992,BEL,3.0,0.0,124.0,70,68,0.6323529411764706,0
1996,BEL,6.0,2.0,127.0,55,61,0.6721311475409836,0
2000,BEL,5.0,0.0,133.0,64,68,0.5294117647058824,0
2004,BEL,3.0,1.0,138.0,41,50,0.62,0
2008,BEL,2.0,2.0,141.0,55,94,0.8191489361702128,0
2012,BEL,3.0,0.0,143.0,71,111,0.6216216216216216,0
2016,BEL,6.0,2.0,146.0,74,104,0.6730769230769231,0
2020,BEL,7.0,3.0,152.0,80,130,0.5538461538461539,0
2024,BEL,10.0,3.0,159.0,102,177,0.5028248587570622,0
1972,BEN,0.0,0.0,0.0,3,3,1.0,0
1980,BEN,0.0,0.0,0.0,17,16,0.9375,0
1984,BEN,0.0,0.0,0.0,3,3,1.0,0
1988,BEN,0.0,0.0,0.0,7,7,0.8571428571428571,0
1992,BEN,0.0,0.0,0.0,6,6,0.6666666666666666,0
1996,BEN,0.0,0.0,0.0,4,5,0.8,0
2000,BEN,0.0,0.0,0.0,4,4,0.75,0
2004,BEN,0.0,0.0,0.0,4,4,0.5,0
2008,BEN,0.0,0.0,0.0,5,5,0.6,0
2012,BEN,0.0,0.0,0.0,5,5,0.8,0
2016,BEN,0.0,0.0,0.0,6,6,0.6666666666666666,0
2020,BEN,0.0,0.0,0.0,7,7,0.5714285714285714,0
2024,BEN,0.0,0.0,0.0,5,5,0.6,0
1936,BER,0.0,0.0,0.0,4,5,1.0,0
1948,BER,0.0,0.0,0.0,13,12,0.8333333333333334,0
1952,BER,0.0,0.0,0.0,6,6,0.6666666666666666,0
1956,BER,0.0,0.0,0.0,1,3,1.0,0
1960,BER,0.0,0.0,0.0,4,9,1.0,0
1964,BER,0.0,0.0,0.0,2,4,1.0,0
1968,BER,0.0,0.0,0.0,4,6,1.0,0
1972,BER,0.0,0.0,0.0,4,9,1.0,0
1976,BER,1.0,0.0,0.0,12,16,0.9375,0
1984,BER,0.0,0.0,1.0,10,12,0.9166666666666666,0
1988,BER,0.0,0.0,1.0,12,12,0.9166666666666666,0
1992,BER,0.0,0.0,1.0,20,20,0.7,0
1996,BER,0.0,0.0,1.0,9,9,0.7777777777777778,0
2000,BER,0.0,0.0,1.0,6,6,0.6666666666666666,0
2004,BER,0.0,0.0,1.0,7,10,0.5,0
2008,BER,0.0,0.0,1.0,6,6,0.3333333333333333,0
2012,BER,0.0,0.0,1.0,7,8,0.625,0
2016,BER,0.0,0.0,1.0,8,8,0.5,0
2020,BER,1.0,1.0,1.0,2,2,0.5,0
2024,BER,0.0,0.0,2.0,7,8,0.5,0
1984,BHU,0.0,0.0,0.0,2,6,0.5,0
1988,BHU,0.0,0.0,0.0,2,3,1.0,0
1992,BHU,0.0,0.0,0.0,4,6,0.5,0
1996,BHU,0.0,0.0,0.0,2,2,0.5,0
2000,BHU,0.0,0.0,0.0,2,2,0.5,0
2004,BHU,0.0,0.0,0.0,2,2,0.5,0
2008,BHU,0.0,0.0,0.0,2,2,0.5,0
2012,BHU,0.0,0.0,0.0,2,2,0.0,0
2016,BHU,0.0,0.0,0.0,2,2,0.0,0
2020,BHU,0.0,0.0,0.0,4,4,0.5,0
2024,BHU,0.0,0.0,0.0,3,3,0.6666666666666666,0
1992,BIH,0.0,0.0,0.0,13,10,0.6,0
1996,BIH,0.0,0.0,0.0,12,9,0.7777777777777778,0
2000,BIH,0.0,0.0,0.0,10,9,0.7777777777777778,0
2004,BIH,0.0,0.0,0.0,11,9,0.7777777777777778,0
2008,BIH,0.0,0.0,0.0,7,5,0.8,0
2012,BIH,0.0,0.0,0.0,8,6,0.6666666666666666,0
2016,BIH,0.0,0.0,0.0,8,11,0.6363636363636364,0
2020,BIH,0.0,0.0,0.0,8,7,0.5714285714285714,0
2024,BIH,0.0,0.0,0.0,6,5,0.4,0
1968,BIZ,0.0,0.0,0.0,6,7,1.0,0
1972,BIZ,0.0,0.0,0.0,2,1,1.0,0
1976,BIZ,0.0,0.0,0.0,4,4,1.0,0
1984,BIZ,0.0,0.0,0.0,7,11,1.0,0
1988,BIZ,0.0,0.0,0.0,7,10,1.0,0
1992,BIZ,0.0,0.0,0.0,10,10,0.9,0
1996,BIZ,0.0,0.0,0.0,5,5,0.4,0
2000,BIZ,0.0,0.0,0.0,2,2,0.5,0
2004,BIZ,0.0,0.0,0.0,2,2,0.5,0
2008,BIZ,0.0,0.0,0.0,4,4,0.75,0
2012,BIZ,0.0,0.0,0.0,3,3,0.6666666666666666,0
2016,BIZ,0.0,0.0,0.0,3,3,0.6666666666666666,0
2020,BIZ,0.0,0.0,0.0,4,3,0.6666666666666666,0
2024,BIZ,0.0,0.0,0.0,1,1,1.0,0
1996,BLR,15.0,1.0,0.0,115,157,0.5796178343949044,0
2000,BLR,17.0,3.0,15.0,109,139,0.5179856115107914,0
2004,BLR,13.0,2.0,32.0,121,151,0.543046357615894,0
2008,BLR,14.0,3.0,45.0,122,177,0.5254237288135594,0
2012,BLR,10.0,2.0,59.0,110,160,0.55625,0
2016,BLR,9.0,1.0,69.0,86,120,0.44166666666666665,0
2020,BLR,7.0,1.0,78.0,90,103,0.4368932038834951,0
1900,BOH,2.0,0.0,0.0,9,7,0.8571428571428571,0
1906,BOH,0.0,0.0,2.0,22,13,1.0,0
1908,BOH,2.0,0.0,2.0,15,19,1.0,0
1912,BOH,0.0,0.0,4.0,26,43,1.0,0
1936,BOL,0.0,0.0,0.0,2,2,1.0,0
1964,BOL,0.0,0.0,0.0,1,1,1.0,0
1968,BOL,0.0,0.0,0.0,3,4,1.0,0
1972,BOL,0.0,0.0,0.0,9,11,1.0,0
1976,BOL,0.0,0.0,0.0,5,4,1.0,0
1984,BOL,0.0,0.0,0.0,11,11,0.9090909090909091,0
1988,BOL,0.0,0.0,0.0,12,7,0.8571428571428571,0
1992,BOL,0.0,0.0,0.0,18,13,0.6153846153846154,0
1996,BOL,0.0,0.0,0.0,9,8,0.75,0
2000,BOL,0.0,0.0,0.0,5,5,0.6,0
2004,BOL,0.0,0.0,0.0,11,7,0.5714285714285714,0
2008,BOL,0.0,0.0,0.0,7,7,0.5714285714285714,0
2012,BOL,0.0,0.0,0.0,5,5,0.6,0
2016,BOL,0.0,0.0,0.0,10,12,0.5,0
2020,BOL,0.0,0.0,0.0,5,5,0.6,0
2024,BOL,0.0,0.0,0.0,4,4,0.5,0
1980,BOT,0.0,0.0,0.0,8,7,1.0,0
1984,BOT,0.0,0.0,0.0,6,7,1.0,0
1988,BOT,0.0,0.0,0.0,8,8,1.0,0
1992,BOT,0.0,0.0,0.0,6,6,1.0,0
1996,BOT,0.0,0.0,0.0,4,7,1.0,0
2000,BOT,0.0,0.0,0.0,5,7,1.0,0
2004,BOT,0.0,0.0,0.0,8,11,0.9090909090909091,0
2008,BOT,0.0,0.0,0.0,11,11,0.8181818181818182,0
2012,BOT,1.0,0.0,0.0,4,4,0.75,0
2016,BOT,0.0,0.0,1.0,7,12,0.75,0
2020,BOT,1.0,0.0,1.0,9,14,0.6428571428571429,0
2024,BOT,2.0,1.0,2.0,9,14,0.8571428571428571,0
1900,BRA,0.0,0.0,0.0,3,1,1.0,0
1920,BRA,3.0,1.0,0.0,10,19,1.0,0
1924,BRA,0.0,0.0,3.0,15,12,1.0,0
1932,BRA,0.0,0.0,3.0,28,59,0.9830508474576272,0
1936,BRA,0.0,0.0,3.0,37,73,0.9178082191780822,0
1948,BRA,1.0,0.0,3.0,41,70,0.8428571428571429,0
1952,BRA,3.0,1.0,4.0,51,97,0.9484536082474226,0
1956,BRA,1.0,1.0,7.0,30,47,0.9787234042553191,0
1960,BRA,2.0,0.0,8.0,35,72,0.9861111111111112,0
1964,BRA,1.0,0.0,10.0,17,61,0.9836065573770492,0
1968,BRA,3.0,0.0,11.0,27,75,0.96,0
1972,BRA,2.0,0.0,14.0,44,80,0.9625,0
1976,BRA,2.0,0.0,16.0,47,79,0.9113924050632911,0
1980,BRA,4.0,2.0,18.0,72,106,0.8584905660377359,0
1984,BRA,8.0,1.0,22.0,82,147,0.8571428571428571,0
1988,BRA,6.0,1.0,30.0,106,157,0.7898089171974523,0
1992,BRA,3.0,2.0,36.0,107,181,0.7237569060773481,0
1996,BRA,15.0,3.0,39.0,93,220,0.7090909090909091,0
2000,BRA,12.0,0.0,54.0,96,196,0.5357142857142857,0
2004,BRA,10.0,5.0,66.0,133,241,0.5062240663900415,0
2008,BRA,17.0,3.0,76.0,145,265,0.5132075471698113,0
2012,BRA,17.0,3.0,93.0,138,246,0.524390243902439,0
2016,BRA,19.0,7.0,110.0,222,458,0.5480349344978166,0
2020,BRA,21.0,7.0,129.0,159,319,0.5297805642633229,0
2024,BRA,20.0,3.0,150.0,172,289,0.43252595155709345,0
1984,BRN,0.0,0.0,0.0,8,10,1.0,0
1988,BRN,0.0,0.0,0.0,7,7,1.0,0
1992,BRN,0.0,0.0,0.0,10,10,1.0,0
1996,BRN,0.0,0.0,0.0,3,5,1.0,0
2000,BRN,0.0,0.0,0.0,4,4,0.5,0
2004,BRN,0.0,0.0,0.0,10,10,0.7,0
2008,BRN,0.0,0.0,0.0,11,14,0.7857142857142857,0
2012,BRN,1.0,1.0,0.0,11,12,0.3333333333333333,0
2016,BRN,2.0,1.0,1.0,20,33,0.6060606060606061,0
2020,BRN,1.0,0.0,3.0,14,32,0.78125,0
2024,BRN,4.0,2.0,4.0,13,14,0.42857142857142855,0
1996,BRU,0.0,0.0,0.0,1,1,1.0,0
2000,BRU,0.0,0.0,0.0,2,2,1.0,0
2004,BRU,0.0,0.0,0.0,1,1,1.0,0
2012,BRU,0.0,0.0,0.0,3,3,0.6666666666666666,0
